1;30;150.50;4.5;10;1
2;25;120.75;4.0;8;1
3;40;200.00;5.0;15;0
4;35;175.30;4.2;5;1
5;50;250.00;4.8;20;0
6;45;225.00;4.6;12;1
7;20;100.00;3.8;3;1
8;30;150.00;4.3;7;1
9;60;300.00;5.0;25;0
10;50;225.00;4.7;18;1
11;30;155.00;4.5;10;1
12;28;140.00;4.0;9;1
13;38;190.00;4.8;15;1
14;40;200.00;4.6;12;0
15;33;165.00;4.4;8;1
16;45;220.00;4.9;22;0
17;50;250.00;5.0;30;1
18;35;175.00;4.3;7;0
19;28;140.00;3.9;5;1
20;32;160.00;4.1;9;1
21;47;235.00;4.8;14;0
22;42;210.00;4.7;12;1
23;36;180.00;4.5;10;0
24;38;190.00;4.4;11;1
25;39;195.00;4.2;9;1
26;30;150.00;4.0;8;0
27;25;125.00;3.7;6;1
28;33;165.00;4.6;7;1
29;48;240.00;4.9;18;0
30;41;205.00;4.8;14;1
31;49;245.00;4.3;16;0
32;44;220.00;4.6;20;1
33;50;250.00;5.0;25;1
34;31;155.00;4.2;6;1
35;27;135.00;4.1;5;0
36;41;205.00;4.5;12;1
37;43;215.00;4.7;13;1
38;46;230.00;4.8;20;0
39;30;150.00;4.4;9;1
40;32;160.00;4.0;10;1
41;34;170.00;4.5;6;0
42;38;190.00;4.3;8;1
43;40;200.00;4.6;7;1
44;43;215.00;4.7;12;1
45;39;195.00;4.2;5;0
46;25;125.00;4.1;6;1
47;36;180.00;4.8;15;1
48;29;145.00;4.3;7;0
49;44;220.00;4.9;19;1
50;50;250.00;5.0;30;0
